created_at,entry_id,field1
2019-03-14 13:25:55 UTC,1,"25.56

"
2019-03-14 13:26:11 UTC,2,"25.69

"
2019-03-14 13:26:28 UTC,3,"28.56

"
2019-03-14 13:26:44 UTC,4,"30.37

"
2019-03-14 13:27:01 UTC,5,"27.62

"
2019-03-14 13:27:17 UTC,6,"25.88

"
2019-03-14 13:27:34 UTC,7,"25.37

"
2019-03-14 13:27:53 UTC,8,"24.87

"
2019-03-14 13:28:10 UTC,9,"24.87

"
2019-03-14 13:28:26 UTC,10,"24.87

"
2019-03-14 13:28:59 UTC,11,"24.94

"
2019-03-14 13:29:16 UTC,12,"25.00

"
2019-03-14 13:29:32 UTC,13,"25.00

"
2019-03-14 13:29:48 UTC,14,"25.06

"
2019-03-14 13:30:05 UTC,15,"25.00

"
2019-03-14 13:30:21 UTC,16,"25.06

"
2019-03-14 13:30:38 UTC,17,"25.19

"
2019-03-14 13:30:54 UTC,18,"25.25

"
2019-03-14 13:32:00 UTC,19,"85.00

"
2019-03-14 13:32:16 UTC,20,"26.00

"
2019-03-14 13:32:33 UTC,21,"25.94

"
2019-03-14 13:32:49 UTC,22,"25.94

"
2019-03-14 13:33:05 UTC,23,"25.88

"
2019-03-14 13:33:22 UTC,24,"25.81

"
2019-03-14 13:33:55 UTC,25,"25.69

"
2019-03-14 13:34:11 UTC,26,"25.62

"
2019-03-14 13:34:28 UTC,27,"25.56

"
2019-03-14 13:35:16 UTC,28,"85.00

"
2019-03-14 13:35:35 UTC,29,"25.50

"
2019-03-14 13:37:41 UTC,30,"25.50

"
2019-03-14 13:38:05 UTC,31,"25.75

"
2019-03-14 13:38:29 UTC,32,"25.88

"
2019-03-14 13:38:50 UTC,33,"26.00

"
2019-03-14 13:39:11 UTC,34,"25.88

"
2019-03-14 13:39:33 UTC,35,"25.75

"
2019-03-14 13:39:48 UTC,36,"25.62

"
2019-03-14 13:41:03 UTC,37,"25.37

"
2019-03-14 13:42:19 UTC,38,"25.44

"
2019-03-14 13:43:35 UTC,39,"25.69

"
2019-03-14 13:44:54 UTC,40,"25.88

"
2019-03-14 13:46:06 UTC,41,"25.94

"
2019-03-14 13:47:21 UTC,42,"25.44

"
2019-03-14 13:48:37 UTC,43,"25.69

"
2019-03-14 13:50:10 UTC,44,"85.00

"
2019-03-14 13:51:26 UTC,45,"26.37

"
2019-03-14 13:52:41 UTC,46,"26.00

"
2019-03-14 13:53:56 UTC,47,"25.81

"
2019-03-14 13:55:12 UTC,48,"25.75

"
2019-03-14 13:56:27 UTC,49,"25.69

"
2019-03-14 13:57:43 UTC,50,"25.75

"
2019-03-14 13:58:58 UTC,51,"25.62

"
2019-03-14 14:00:13 UTC,52,"25.50

"
2019-03-14 14:01:29 UTC,53,"25.56

"
2019-03-14 14:02:44 UTC,54,"25.62

"
2019-03-14 14:04:00 UTC,55,"25.62

"
2019-03-14 14:05:15 UTC,56,"25.50

"
2019-03-14 14:06:30 UTC,57,"25.50

"
2019-03-14 14:07:46 UTC,58,"25.50

"
2019-03-14 14:09:01 UTC,59,"25.56

"
2019-03-14 14:10:16 UTC,60,"25.62

"
2019-03-14 14:11:32 UTC,61,"25.56

"
2019-03-14 14:12:47 UTC,62,"25.50

"
2019-03-14 14:14:03 UTC,63,"25.50

"
2019-03-14 14:15:18 UTC,64,"25.56

"
2019-03-14 14:16:34 UTC,65,"25.62

"
2019-03-14 14:17:49 UTC,66,"25.56

"
2019-03-14 14:19:07 UTC,67,"25.44

"
2019-03-14 14:20:20 UTC,68,"25.50

"
2019-03-14 14:21:35 UTC,69,"25.56

"
2019-03-14 14:22:50 UTC,70,"25.62

"
2019-03-14 14:24:06 UTC,71,"25.62

"
2019-03-14 14:25:21 UTC,72,"25.50

"
2019-03-14 14:26:37 UTC,73,"25.44

"
2019-03-14 14:27:52 UTC,74,"25.50

"
2019-03-14 14:29:07 UTC,75,"25.56

"
2019-03-14 14:30:23 UTC,76,"25.62

"
2019-03-14 14:31:38 UTC,77,"25.50

"
2019-03-14 14:32:54 UTC,78,"25.50

"
